OBJECTID,MATERIAL,DIAMETER,LENGTH,PLACEDINSE,FACILITYID,Major_Road,Major_Intersection,Minor_Intersection,Minor_Road,Buildings,ROW,WaterAreas,WaterLines,zone,affected_lats,SchoolChildcare,Healthcare,CriticalCustomers,DIAMETER_score,Buildings_score,WaterBodies_score,affected_lats_score,school_childcare_score,medical_score,critical_cust_score,Roadway_score,COF
1,DIP,8,728.0,2000,1,0.001883574168472,0.002034355475693,0.003343277384928,0.0,0.000162892442664,0.0,0.003349885320514,0.003236765157268,Zone- 1,17.0,,,,4,10,9,5,0,0,0,6,6
2,DIP,8,452.0,2000,2,0.002562260761218,0.002601538386445,0.0,0.0,0.000192828152196,0.0,0.001987483557206,0.002321684057003,Zone- 2,3.0,,,,4,10,9,1,0,0,0,7,5
3,DIP,8,307.0,1998,3,0.0009349044091,0.000968688654908,0.0,0.0,0.000136154211699,0.0,0.00328720299442,0.001926719210918,Zone- 3,5.0,,,,4,10,9,1,0,0,0,7,5
4,DIP,8,417.0,1998,4,0.001755521006619,0.001782626253629,0.0,0.0,5.7274175179e-05,0.0,0.001989317627089,0.002323836851999,Zone- 4,3.0,,,,4,10,9,1,0,0,0,7,5
5,DIP,6,1788.0,1973,5,0.0,0.002039271607415,0.001092264080243,0.000193003261549,0.000362202926404,0.0,0.002727619749946,0.001577403485643,Zone- 5,3.0,,,,4,10,9,1,0,0,0,9,6
6,DIP,6,206.0,1980,6,0.001441872972012,0.002107497757251,0.002136013806327,0.001942681259299,0.000804964706938,0.001359055989394,0.006089903574997,0.002368060250251,Zone- 6,,,,,4,10,9,0,0,0,0,0,4
7,DIP,10,870.0,1978,7,5.7805531435e-05,0.0,0.001130552995741,5.7807870514e-05,0.000152368234838,0.0,0.004704883803179,0.000599159897696,Zone- 5,3.0,,,,7,10,9,1,0,0,0,10,6
8, ,4,920.0, ,8,0.0,0.0,0.000971739796522,0.0,0.000252608221227,0.0,0.004497951641477,0.000697464666396,Zone- 8,,,,,4,10,9,0,0,0,0,10,6
9,CI,10,535.0,1958,9,7.7698792592e-05,0.002761206251795,0.003516374250639,0.002826827369937,0.000198071747614,0.0,0.007524028197699,0.001577403485643,Zone- 5,3.0,,,,7,10,9,1,0,0,0,3,5
10, ,4,705.0, ,10,0.0,0.002740988205463,0.003468492317813,0.002806667917073,0.000199982381971,0.0,0.007485478740201,0.00162584938994,Zone- 8,,,,,4,10,9,0,0,0,0,9,6
11,CI,10,76.0,1950,11,0.001063551577849,0.004558741477518,0.005256381577711,0.004624377160982,0.000106675634644,0.001036991438868,0.009291543499156,0.003014338416771,Zone- 5,3.0,,,,7,10,9,1,0,0,0,0,5
12,CI,10,45.0,1950,12,0.001063551577849,0.004558741477518,0.005256381577711,0.004624377160982,0.000198071747614,0.001036991438868,0.009291543499156,0.003092162812029,Zone- 5,3.0,,,,7,10,9,1,0,0,0,0,5
13,DIP,12,694.0,2005,13,0.0,0.0,0.005072774403593,0.002242473791353,0.000357545671779,0.000709542818852,0.012642991711325,0.001415913066547,Zone- 13,7.0,,,,7,10,9,1,0,0,0,10,6
14, ,6,196.0,0,14,9.7735177078e-05,0.00176086938924,0.006940281410283,0.003503825676512,0.000966754535626,0.002412870575274,0.01421721588855,0.00300167352796,Zone- 14,,,,,4,10,9,0,0,0,0,0,4
15,DIP,8,471.0,2010,15,0.0,0.001775658221439,0.003512058151682,0.001612859160304,0.000241182353328,0.0,0.0105542165,0.000430153257466,Zone- 15,,,,,4,10,9,0,0,0,0,9,6
16,DIP,12,80.0,2000,16,0.0,5.4974335545e-05,0.00370503752704,0.001022227096788,0.00036023842922,0.0,0.005920691660892,0.002049587169259,Zone- 16,,,,,7,10,9,0,0,0,0,9,6
17,CI,6,608.0,1940,17,0.004350286794766,0.004297947770181,0.001155266804097,0.0,0.000121904090815,0.0,0.001379607379585,0.002169863506516,Zone- 1,17.0,,,,4,10,9,5,0,0,0,6,6
18,DIP,8,573.0,2000,18,0.001249393014822,0.001341767568915,0.0,0.0,0.000222445606922,0.0,0.00111285274855,0.001528552610755,Zone- 18,5.0,,,,4,10,9,1,0,0,0,7,5
19,CI,8,1366.0,1960,19,0.0,0.0,0.000913677101766,0.0,0.00015107115267,0.0,0.00076353727455,0.000894027186049,Zone- 19,12.0,,,,4,10,9,5,0,0,0,10,7
20,DIP,8,412.0,1998,20,0.000903173486877,0.000869061209285,0.0,0.0,4.7207820946e-05,0.0,0.00111425138005,0.001529092392878,Zone- 20,5.0,,,,4,10,9,1,0,0,0,7,5
21,DIP,8,462.0,1998,21,0.000903173486877,0.00084147652747,0.0,0.0,0.000149461689471,0.0,0.002515066402188,0.001922842339712,Zone- 21,,,,,4,10,9,0,0,0,0,7,5
22,DIP,6,19.0,1998,22,0.001875749032407,0.001833278608579,0.0,0.0,0.000233420586588,0.0,0.003005741229715,0.003148832616578,Zone- 22,1.0,,,,4,10,9,1,0,0,0,7,5
23,DIP,8,343.0,1998,23,0.0,0.0,0.0,0.0,0.000116955615434,0.0,0.004037139894872,0.000812371918126,Zone- 23,2.0,,,,4,10,9,1,0,0,0,10,6
24,DIP,12,773.0,2005,24,0.0,0.0,0.002837454216102,4.84378801e-07,0.000227626747569,6.719718249e-06,0.01083976824679,0.00104945152902,Zone- 24,11.0,,,,7,10,9,5,0,0,0,10,7
25,DIP,12,603.0,2005,25,0.0,0.0,0.003506372323792,0.001612217241776,0.000165023926839,0.0,0.010545077548746,0.0,Zone- 25,1.0,,,,7,10,10,1,0,0,0,10,6
