OBJECTID,MATERIAL,DIAMETER,LENGTH,PLACEDINSE,FACILITYID,Major_Road,Major_Intersection,Minor_Intersection,Minor_Road,Buildings,ROW,WaterAreas,WaterLines
1,DIP,8,728.0,2000,1,528.1216431820825,548.7110694582798,916.6960354246762,0.0,59.360008897343874,0.0,989.3979537197347,1179.5316416831877
2,DIP,8,452.0,2000,2,846.3177992956009,828.6141661970124,0.0,0.0,52.01415727721388,0.0,570.2561322548823,678.4469720010491
3,DIP,8,307.0,1998,3,309.06564007772914,295.4981992578039,0.0,0.0,47.79668551125158,0.0,950.5135650023332,585.4428509748275
4,DIP,8,417.0,1998,4,580.3497369195504,593.6491872019046,0.0,0.0,20.86946949051046,0.0,570.8274182460701,679.0432092395616
5,DIP,6,1788.0,1973,5,0.0,744.8670074158266,399.8081421704408,70.27643398950522,131.97267856352968,0.0,828.6405428839134,556.0543501401896
6,DIP,6,206.0,1980,6,474.5497406969936,758.4655347646176,683.3266146321396,624.3540936856718,287.78133521770764,450.5929936529821,1756.2265819885204,835.2489005163537
7,DIP,10,870.0,1978,7,19.06541630340977,1.35795943740694,343.04507287610966,19.066111189345275,50.24950607692805,0.0,1290.3079913255442,197.6086648746404
8, ,4,920.0, ,8,0.0,0.0,306.3025256097798,0.0,83.27449799556516,0.0,1234.9228035498124,229.93281636169587
9,CI,10,535.0,1958,9,25.5745808553402,815.3349585821829,968.2443353251837,833.0792131089198,53.74938881576337,0.0,2113.3430234767893,556.0543501401896
10, ,4,705.0, ,10,0.0,818.0672951791854,959.5828220577052,835.7831462160282,65.95075983520202,0.0,2108.0173296862195,578.2830845976098
11,CI,10,76.0,1950,11,306.10939577659104,1349.3499216078699,1478.5715257091963,1367.119958916425,30.92978181057344,311.7116755331976,2633.200957827967,1016.7291741047068
12,CI,10,45.0,1950,12,306.10939577659104,1350.2950114246091,1478.5715257091963,1368.0245430949167,53.74938881576337,314.1716920541502,2633.200957827967,1043.0635481610805
13,DIP,12,694.0,2005,13,0.0,0.0,1537.1973360787304,771.6728526486929,114.8220033101545,191.58229005971003,3460.3923433657783,382.1756408906654
14, ,6,196.0,0,14,32.662777425477955,578.4316122437544,2146.9389047305704,1258.2008499289186,332.04243540357413,734.583308170132,3931.989126804385,875.1174715089657
15,DIP,8,471.0,2010,15,0.0,546.6667627948533,1176.7851149773296,587.1930060990677,82.82724180049898,0.0,2902.944940812485,152.28918816730686
16,DIP,12,80.0,2000,16,0.0,14.828674034904736,1200.7759386870187,275.6488452601476,115.10302736815278,0.0,1656.351524490192,652.5362006640784
17,CI,6,608.0,1940,17,1219.7393410035152,1264.3842623805683,316.61463325035567,0.0,42.993380961419646,0.0,434.9708179673111,645.9136902425766
18,DIP,8,573.0,2000,18,412.66781146487193,490.5019455679145,0.0,0.0,59.99944153962371,0.0,314.87336747450604,415.5853916132624
19,CI,8,1366.0,1960,19,0.0,0.0,304.83576494418367,0.0,49.52356158092232,0.0,212.19411821013824,267.6192740649555
20,DIP,8,412.0,1998,20,298.3366068516802,280.66172640121846,0.0,0.0,15.632532664033713,0.0,315.3202659682118,415.82838769131064
21,DIP,8,462.0,1998,21,298.3366068516802,280.69049190983253,0.0,0.0,48.81458427234973,0.0,707.3650748287655,584.04993697918
22,DIP,6,19.0,1998,22,620.0949236058743,648.7836940832127,0.0,0.0,69.629226732813,0.0,865.4688738385613,945.7724836265672
23,DIP,8,343.0,1998,23,0.0,0.0,0.0,0.0,37.547242118539366,0.0,1154.4670002992489,246.879393614896
24,DIP,12,773.0,2005,24,0.0,0.0,811.3124803536926,0.147511469879361,68.55008038886774,2.026581080555684,2928.700342095722,316.03336783331565
25,DIP,12,603.0,2005,25,0.0,0.0,1175.509557385259,586.9593131658884,60.12287366982036,0.0,2900.499530543391,0.0
26, , ,289.0, ,26,489.85021769859213,551.9816607537037,338.88457479544303,0.0,57.832350493035015,0.0,2181.1801955690985,195.33085357076155
27,CI,4,614.0,1940,27,1.67962782590621,0.0,528.6349510853921,0.0,47.167298954054495,0.0,2341.084808024588,168.67367832285575
28,DIP,12,316.0,2005,28,0.0,549.195141257169,1053.9265442418573,499.4809538439081,59.54706185080308,0.0,2595.970351192603,153.1148212368878
29,CI,4,144.0,1948,29,0.0,136.2127454156578,1012.8256869018948,260.6569251567688,2.525960150606297,0.0,1537.3753235958775,476.6083293266392
30,CI,6,260.0,1948,30,0.0,41.37104458199121,1042.475867118361,236.58510474912248,89.04073749986748,0.0,1456.3684340750783,516.529866522123
31,CI,6,29.0,1940,31,0.0,41.37104458199121,1163.6147855996808,236.58510474912248,96.11455608304823,0.0,1588.9719877229863,625.4315975239115
32,DIP,6,64.0,2005,32,4.289001411480802,12.691327159954412,1163.6147855996808,264.978070718368,96.11455608304823,0.0,1613.0103258616048,625.4315975239115
33,DIP,12,1079.0,2005,33,0.0,0.0,1000.8288307613776,178.63783159584523,48.96201675301814,0.0,1565.8219473032148,218.36879943136424
34,DIP,4,195.0,2005,34,0.0,783.1078707668189,1255.68432933998,681.6680225656727,6.003183732572605,259.0133828494372,749.8705390277704,689.8598654861038
35,DIP,12,316.0,2005,35,0.0,0.0,1283.4369526014189,0.0,31.79772527004864,7.120352829313147,1182.8233287933188,739.613994076625
36,CI,8,344.0,1960,36,0.0,206.1440931309128,689.6762365412717,223.91587505248253,42.812242467809575,0.0,109.75290630876228,199.5531015946761
37,CI,4,556.0,1940,37,0.0,0.0,537.9761793559511,11.855621592179688,45.33998533857782,0.0,109.75290630876228,199.5531015946761
38,DIP,8,104.0,2000,38,0.0,0.0,433.35386526926175,0.0,60.20257999019415,0.0,293.40449212347727,388.01120969203663
39,DIP,8,456.0,2000,39,68.27127589388212,51.313762649106806,0.0,0.0,23.826601583950808,0.0,265.9538057769855,388.01120969203663
40,CI,4,7.0,1960,40,0.0,0.0,532.5679108974781,6.501338118949644,67.81345411123863,0.0,357.04589077801256,430.0457338434666
41,DIP,12,2054.0,1973,41,0.0,0.0,0.0,0.0,5.147282842363604,0.0,1277.3617233757172,0.0
42,DIP,8,336.0,2005,42,0.0,0.0,1134.7437642530626,0.0,35.79617941812269,0.0,3316.440480443104,819.5450035141806
43,CI,4,134.0,1940,43,21.984762042799424,6.625989239170856,988.038939021297,0.0,44.52859045554264,0.0,3164.8602954564008,971.5279432413033
44,DIP,4,24.0,2005,44,2.698712561064264,0.0,1121.620697974038,0.0,50.082518129639205,0.0,3297.1979860612632,1047.197259007895
45,DIP,8,528.0,2005,45,0.0,0.0,652.0969880070584,2.208994087667489,25.05077313505412,0.0,2817.3389035495716,476.0084616153947
46,DIP,12,188.0,2005,46,0.0,0.0,652.0969880070584,0.0,71.64616613989831,0.0,2817.3389035495716,394.8092301330698
47,CI,4,26.0,1940,47,0.0,0.0,795.1586768136912,0.0,75.13389837018146,0.0,2905.8300827582875,373.4443250618649
48,CI,2,276.0,1930,48,381.6584705193048,619.8669881987773,0.0,0.0,38.52374070220547,0.0,1902.8702953239408,280.84305414990285
49,DIP,4,362.0,2008,49,381.6584705193048,588.0823293987659,0.0,0.0,47.78459454309579,0.0,2171.988673305851,295.15576120021854
50,DIP,8,640.0,2000,50,7.201404343222978,33.486673864389616,930.0077465659565,16.036792953472112,51.24978199220112,0.0,984.4950022306876,301.58010142180734
51,DIP,12,1080.0,1984,51,0.0,295.7214197143901,1134.3333288027889,293.239121373396,25.7671073041564,2.541064898336356,730.420530088946,680.1727610156133
52,CI,6,762.0,1948,52,0.236183110609287,300.1366992104747,915.6236247471072,359.40992297117066,78.78688316398107,0.0,1199.3785520351037,349.9609594506554
53,CI,4,451.0,1940,53,654.8158722394209,637.1712038082218,0.0,0.0,17.859494546823896,0.0,47.143220265293365,782.8799474049542
54,CI,4,563.0,1940,54,323.4774976892768,306.280643910016,0.0,0.0,20.1789428663504,0.0,308.1517785824007,735.5656525879816
55,CI,4,529.0,1940,55,319.0444722397685,305.97205415976066,0.0,0.0,52.51364530304143,0.0,422.32002132935855,643.5400062302347
56,CI,6,292.0,1940,56,29.5498775142762,16.750559742142457,0.0,0.0,33.00562017403273,0.0,306.63533280009943,529.2586306420006
57,CI,4,130.0,1940,57,319.0444722397685,302.25323897191026,0.0,0.0,125.35522958444245,0.0,306.63533280009943,529.2586306420006
58,CI,4,262.0,1945,58,9.724296971545654,0.0,374.0282360954836,0.0,47.42590070614772,0.0,365.5814448119745,523.6518229468059
