OBJECTID,material,diameter,placedinse,facilityid,LENGTH,Minor_Road,Major_Intersection,Major_Road,Minor_Intersection,Buildings,ROW,WaterAreas,WaterLines,zone,affected_lats,SchoolChildcare,Healthcare,CriticalCustomers,DIAMETER_score,Buildings_score,WaterBodies_score,affected_lats_score,school_childcare_score,medical_score,critical_cust_score,Roadway_score,COF
1,DIP,8,2000,1,728.0,0.0,548.7483307725031,528.1217239100691,916.8001314020945,59.359680348763376,0.0,989.3979537213409,1179.5312314500375,Zone- 1,17.0,,,,7,0,0,5,0,0,0,6,3
2,DIP,8,2000,2,452.0,0.0,828.7742584146667,846.3177980595469,0.0,52.01415485421367,0.0,570.2562523900403,678.4469719876438,Zone- 2,3.0,,,,7,0,0,1,0,0,0,7,3
3,DIP,8,1998,3,307.0,0.0,295.5716888070514,309.06545151384967,0.0,47.796685517463686,0.0,950.5135649884851,585.4428509791857,Zone- 3,5.0,,,,7,0,0,1,0,0,0,7,3
4,DIP,8,1998,4,417.0,0.0,593.6689202993283,580.3496060232793,0.0,20.869225787435553,0.0,570.8274018221648,679.043065393555,Zone- 4,3.0,,,,7,0,0,1,0,0,0,7,3
5,DIP,6,1973,5,1788.0,70.276106031637,744.8792279860387,0.0,399.82057897850535,131.9723757055732,0.0,828.640341545787,556.0543501442348,Zone- 5,3.0,,,,4,0,0,1,0,0,0,9,3
6,DIP,6,1980,6,206.0,624.3540936856718,758.4897600479701,474.54952696534434,683.4564436754221,287.78133521770764,450.59301985867216,1756.2266437797653,835.2489005163537,Zone- 6,,,,,4,0,0,0,0,0,0,0,1
7,DIP,10,1978,7,870.0,19.06611118956755,1.551108700592751,19.06541630247409,343.14683342583726,50.249294284103605,0.0,1290.3076772911,197.6086648828244,Zone- 5,3.0,,,,7,0,0,1,0,0,0,3,2
8, ,4,,8,920.0,0.0,0.0,0.0,306.39388693496204,83.27427386544348,0.0,1234.922079423632,229.9327858648524,Zone- 8,,,,,4,0,0,0,0,0,0,10,3
9,CI,10,1958,9,535.0,833.0794135813784,815.4033068204478,25.574684490507558,968.3993068641056,53.74943867156817,0.0,2113.34272530554,556.0543501442348,Zone- 5,3.0,,,,7,0,0,1,0,0,0,3,2
10, ,4,,10,705.0,835.7833569675198,818.2399582768688,0.0,959.6509359332115,65.95095517779544,0.0,2108.017033706913,578.2830846010119,Zone- 8,,,,,4,0,0,0,0,0,0,9,2
11,CI,10,1950,11,76.0,1367.1198904388307,1349.3845366301296,306.10939577659104,1478.6118390746688,30.929694655544143,311.7116755331976,2633.2003771116174,1016.7289942577728,Zone- 5,3.0,,,,7,0,0,1,0,0,0,0,1
12,CI,10,1950,12,45.0,1368.0244913502108,1350.3962346555948,306.10939577659104,1478.6118390746688,53.74943867156817,314.1716920541502,2633.2003771116174,1043.0633718154684,Zone- 5,3.0,,,,7,0,0,1,0,0,0,0,1
13,DIP,12,2005,13,694.0,771.6726662764296,0.0,0.0,1537.2613286147687,114.82176932306238,191.58196363315707,3460.3917034442056,382.17534401320154,Zone- 13,7.0,,,,10,0,0,1,0,0,0,10,3
14, ,6,,14,196.0,1258.2008499289186,578.4646864244231,32.662777413005635,2146.9773431654803,332.04232549650953,734.5828445758733,3931.9880897583785,875.1168361420798,Zone- 14,,,,,4,0,0,0,0,0,0,0,1
15,DIP,8,2010,15,471.0,587.19270633218,546.6692283055845,0.0,1176.9524442396823,82.82737520129022,0.0,2902.9449144474406,152.28901036969535,Zone- 15,,,,,7,0,0,0,0,0,0,9,3
16,DIP,12,2000,16,80.0,275.6488592439688,14.839653317632347,0.0,1200.817211202972,115.10276218599508,0.0,1656.3510996625716,652.5357370586139,Zone- 16,,,,,10,0,0,0,0,0,0,9,3
17,CI,6,1940,17,608.0,0.0,1264.433554349776,1219.7390846495236,316.69770243793727,42.99307459782438,0.0,434.9708179673111,645.9136902425766,Zone- 1,17.0,,,,4,0,0,5,0,0,0,6,3
18,DIP,8,2000,18,573.0,0.0,490.59080176201246,412.66781145566097,0.0,59.999765724636475,0.0,314.8730655062871,415.5850020218438,Zone- 18,5.0,,,,7,0,0,1,0,0,0,7,3
19,CI,8,1960,19,1366.0,0.0,0.0,0.0,305.01598524091725,49.52379301469725,0.0,212.19377828040064,267.619274082915,Zone- 19,12.0,,,,7,0,0,5,0,0,0,10,4
20,DIP,8,1998,20,412.0,0.0,280.80793599369525,298.33660425620315,0.0,15.632740663909846,0.0,315.31983516575224,415.827927774604,Zone- 20,5.0,,,,7,5,0,1,0,0,0,7,3
21,DIP,8,1998,21,462.0,0.0,280.81154801493534,298.33660425620315,0.0,48.81441050794229,0.0,707.3647727757959,584.0496646544659,Zone- 21,,,,,7,0,0,0,0,0,0,7,2
22,DIP,6,1998,22,19.0,0.0,648.9532945855238,620.0948236176711,0.0,69.62943098261779,0.0,865.4688738385613,945.7724836265996,Zone- 22,1.0,,,,4,0,0,1,0,0,0,7,2
23,DIP,8,1998,23,343.0,0.0,0.0,0.0,0.0,37.54724212903123,0.0,1154.4667151609115,246.8792106653856,Zone- 23,2.0,,,,7,0,0,1,0,0,0,10,3
24,DIP,12,2005,24,773.0,0.14709005043479,0.0,0.0,811.4440535539532,68.54980904607635,2.026309738058755,2928.699661319225,316.03309649059247,Zone- 24,11.0,,,,10,0,0,5,0,0,0,10,4
25,DIP,12,2005,25,603.0,586.9589862148856,0.0,0.0,1175.6824350773163,60.122873684836165,0.0,2900.499186385542,0.0,Zone- 25,1.0,,,,10,0,10,1,0,0,0,10,6
26, , ,,26,289.0,0.0,552.001676092799,489.8502200022053,338.89667565638007,57.83237716300438,0.0,2181.1801635109364,195.33090357807907,Zone- 26,28.0,,,,0,0,0,5,0,0,0,6,3
27,CI,4,1940,27,614.0,0.0,0.0,1.679626614748452,528.6736601107847,47.16729895313843,0.0,2341.084753886634,168.67367832048222,Zone- 26,28.0,,,,4,0,0,5,0,0,0,10,4
28,DIP,12,2005,28,316.0,499.48098454355534,549.1979644263133,0.0,1053.994994959409,59.547061554704,0.0,2595.9701538430886,153.11474719350343,Zone- 28,6.0,,,,10,0,0,1,0,0,0,9,3
29,CI,4,1948,29,144.0,260.6569251567688,136.3378470724436,0.0,1012.9457649175334,2.526288243662685,0.0,1537.3750100525392,476.6083301070887,Zone- 29,,,,,4,10,0,0,0,0,0,9,4
30,CI,6,1948,30,260.0,236.58510474912248,41.37153373297948,0.0,1042.6083908884739,89.04042303767109,0.0,1456.3683103143496,516.5296351739453,Zone- 30,14.0,,,,4,0,0,5,0,0,0,9,4
31,CI,6,1940,31,29.0,236.58510474912248,41.37153373297948,0.0,1163.7307788942635,96.11486652854721,0.0,1588.9713714954232,625.431598175846,Zone- 30,14.0,,,,4,0,0,5,0,0,0,9,4
32,DIP,6,2005,32,64.0,264.9780613014444,12.825298159885373,4.289001524380553,1163.7307788942635,96.11486652854721,0.0,1613.009707490152,625.431598175846,Zone- 30,14.0,,,,4,0,0,5,0,0,0,3,3
