FACILITYID,PLACEDINSE,MATERIAL,Age,Material,Service Life,Service Life Score,LOF
1,2000-01-01,DIP,25,DIP,90,3.0,3.0
2,2000-01-01,DIP,25,DIP,90,3.0,3.0
3,1998-01-01,DIP,27,DIP,90,3.0,3.0
4,1998-01-01,DIP,27,DIP,90,3.0,3.0
5,1973-01-01,DIP,52,DIP,90,6.0,6.0
6,1980-01-01,DIP,45,DIP,90,5.0,5.0
7,1978-01-01,DIP,47,DIP,90,6.0,6.0
9,1958-01-01,CI,67,CI,75,9.0,9.0
11,1950-01-01,CI,75,CI,75,10.0,10.0
12,1950-01-01,CI,75,CI,75,10.0,10.0
13,2005-01-01,DIP,20,DIP,90,3.0,3.0
15,2010-01-01,DIP,15,DIP,90,2.0,2.0
16,2000-01-01,DIP,25,DIP,90,3.0,3.0
17,1940-01-01,CI,85,CI,75,10.0,10.0
18,2000-01-01,DIP,25,DIP,90,3.0,3.0
19,1960-01-01,CI,65,CI,75,9.0,9.0
20,1998-01-01,DIP,27,DIP,90,3.0,3.0
21,1998-01-01,DIP,27,DIP,90,3.0,3.0
22,1998-01-01,DIP,27,DIP,90,3.0,3.0
23,1998-01-01,DIP,27,DIP,90,3.0,3.0
24,2005-01-01,DIP,20,DIP,90,3.0,3.0
25,2005-01-01,DIP,20,DIP,90,3.0,3.0
27,1940-01-01,CI,85,CI,75,10.0,10.0
28,2005-01-01,DIP,20,DIP,90,3.0,3.0
29,1948-01-01,CI,77,CI,75,10.0,10.0
30,1948-01-01,CI,77,CI,75,10.0,10.0
31,1940-01-01,CI,85,CI,75,10.0,10.0
32,2005-01-01,DIP,20,DIP,90,3.0,3.0
33,2005-01-01,DIP,20,DIP,90,3.0,3.0
34,2005-01-01,DIP,20,DIP,90,3.0,3.0
35,2005-01-01,DIP,20,DIP,90,3.0,3.0
36,1960-01-01,CI,65,CI,75,9.0,9.0
37,1940-01-01,CI,85,CI,75,10.0,10.0
38,2000-01-01,DIP,25,DIP,90,3.0,3.0
39,2000-01-01,DIP,25,DIP,90,3.0,3.0
40,1960-01-01,CI,65,CI,75,9.0,9.0
41,1973-01-01,DIP,52,DIP,90,6.0,6.0
42,2005-01-01,DIP,20,DIP,90,3.0,3.0
43,1940-01-01,CI,85,CI,75,10.0,10.0
44,2005-01-01,DIP,20,DIP,90,3.0,3.0
45,2005-01-01,DIP,20,DIP,90,3.0,3.0
46,2005-01-01,DIP,20,DIP,90,3.0,3.0
47,1940-01-01,CI,85,CI,75,10.0,10.0
48,1930-01-01,CI,95,CI,75,10.0,10.0
49,2008-01-01,DIP,17,DIP,90,2.0,2.0
50,2000-01-01,DIP,25,DIP,90,3.0,3.0
51,1984-01-01,DIP,41,DIP,90,5.0,5.0
52,1948-01-01,CI,77,CI,75,10.0,10.0
53,1940-01-01,CI,85,CI,75,10.0,10.0
54,1940-01-01,CI,85,CI,75,10.0,10.0
55,1940-01-01,CI,85,CI,75,10.0,10.0
56,1940-01-01,CI,85,CI,75,10.0,10.0
57,1940-01-01,CI,85,CI,75,10.0,10.0
58,1945-01-01,CI,80,CI,75,10.0,10.0
59,1940-01-01,CI,85,CI,75,10.0,10.0
60,1940-01-01,CI,85,CI,75,10.0,10.0
61,1940-01-01,CI,85,CI,75,10.0,10.0
62,1980-01-01,DIP,45,DIP,90,5.0,5.0
63,1980-01-01,DIP,45,DIP,90,5.0,5.0
64,2005-01-01,DIP,20,DIP,90,3.0,3.0
65,2005-01-01,DIP,20,DIP,90,3.0,3.0
66,2005-01-01,DIP,20,DIP,90,3.0,3.0
67,2005-01-01,DIP,20,DIP,90,3.0,3.0
68,2005-01-01,DIP,20,DIP,90,3.0,3.0
69,2005-01-01,DIP,20,DIP,90,3.0,3.0
70,2005-01-01,DIP,20,DIP,90,3.0,3.0
71,1995-01-01,DIP,30,DIP,90,4.0,4.0
72,2005-01-01,DIP,20,DIP,90,3.0,3.0
73,2005-01-01,DIP,20,DIP,90,3.0,3.0
74,1995-01-01,DIP,30,DIP,90,4.0,4.0
75,2005-01-01,DIP,20,DIP,90,3.0,3.0
76,2005-01-01,DIP,20,DIP,90,3.0,3.0
77,1948-01-01,CI,77,CI,75,10.0,10.0
78,1972-01-01,DIP,53,DIP,90,6.0,6.0
79,1984-01-01,DIP,41,DIP,90,5.0,5.0
80,1940-01-01,CI,85,CI,75,10.0,10.0
81,1990-01-01,DIP,35,DIP,90,4.0,4.0
82,1940-01-01,CI,85,CI,75,10.0,10.0
83,1940-01-01,CI,85,CI,75,10.0,10.0
84,1980-01-01,DIP,45,DIP,90,5.0,5.0
85,1940-01-01,CI,85,CI,75,10.0,10.0
86,1980-01-01,DIP,45,DIP,90,5.0,5.0
87,1990-01-01,DIP,35,DIP,90,4.0,4.0
88,1940-01-01,CI,85,CI,75,10.0,10.0
89,1940-01-01,CI,85,CI,75,10.0,10.0
90,2000-01-01,DIP,25,DIP,90,3.0,3.0
91,2000-01-01,DIP,25,DIP,90,3.0,3.0
92,2000-01-01,DIP,25,DIP,90,3.0,3.0
93,2000-01-01,DIP,25,DIP,90,3.0,3.0
94,2000-01-01,DIP,25,DIP,90,3.0,3.0
95,2008-01-01,DIP,17,DIP,90,2.0,2.0
96,2008-01-01,DIP,17,DIP,90,2.0,2.0
97,1970-01-01,CI,55,CI,75,8.0,8.0
98,1970-01-01,CI,55,CI,75,8.0,8.0
101,2002-01-01,DIP,23,DIP,90,3.0,3.0
102,2005-01-01,DIP,20,DIP,90,3.0,3.0
103,1940-01-01,CI,85,CI,75,10.0,10.0
104,1940-01-01,CI,85,CI,75,10.0,10.0
105,2005-01-01,DIP,20,DIP,90,3.0,3.0
106,2005-01-01,DIP,20,DIP,90,3.0,3.0
107,1972-01-01,DIP,53,DIP,90,6.0,6.0
108,1972-01-01,DIP,53,DIP,90,6.0,6.0
109,1990-01-01,DIP,35,DIP,90,4.0,4.0
110,1980-01-01,DIP,45,DIP,90,5.0,5.0
111,1940-01-01,CI,85,CI,75,10.0,10.0
112,1980-01-01,DIP,45,DIP,90,5.0,5.0
113,1940-01-01,CI,85,CI,75,10.0,10.0
114,1940-01-01,CI,85,CI,75,10.0,10.0
115,1940-01-01,CI,85,CI,75,10.0,10.0
116,1940-01-01,CI,85,CI,75,10.0,10.0
117,1973-01-01,DIP,52,DIP,90,6.0,6.0
118,1980-01-01,DIP,45,DIP,90,5.0,5.0
119,2005-01-01,DIP,20,DIP,90,3.0,3.0
120,1940-01-01,CI,85,CI,75,10.0,10.0
121,1940-01-01,CI,85,CI,75,10.0,10.0
122,1940-01-01,CI,85,CI,75,10.0,10.0
123,1940-01-01,CI,85,CI,75,10.0,10.0
124,1940-01-01,CI,85,CI,75,10.0,10.0
125,1940-01-01,CI,85,CI,75,10.0,10.0
126,1940-01-01,CI,85,CI,75,10.0,10.0
127,1940-01-01,CI,85,CI,75,10.0,10.0
128,1940-01-01,CI,85,CI,75,10.0,10.0
129,2005-01-01,DIP,20,DIP,90,3.0,3.0
130,2005-01-01,DIP,20,DIP,90,3.0,3.0
131,1940-01-01,CI,85,CI,75,10.0,10.0
132,2005-01-01,DIP,20,DIP,90,3.0,3.0
133,2005-01-01,DIP,20,DIP,90,3.0,3.0
134,2005-01-01,DIP,20,DIP,90,3.0,3.0
135,1930-01-01,CI,95,CI,75,10.0,10.0
136,1930-01-01,CI,95,CI,75,10.0,10.0
137,1930-01-01,CI,95,CI,75,10.0,10.0
138,1930-01-01,CI,95,CI,75,10.0,10.0
139,2006-01-01,DIP,19,DIP,90,3.0,3.0
140,1990-01-01,DIP,35,DIP,90,4.0,4.0
141,1930-01-01,CI,95,CI,75,10.0,10.0
142,1930-01-01,CI,95,CI,75,10.0,10.0
143,1930-01-01,CI,95,CI,75,10.0,10.0
144,1930-01-01,CI,95,CI,75,10.0,10.0
145,1970-01-01,DIP,55,DIP,90,7.0,7.0
146,1970-01-01,DIP,55,DIP,90,7.0,7.0
147,1970-01-01,DIP,55,DIP,90,7.0,7.0
148,1970-01-01,DIP,55,DIP,90,7.0,7.0
