OBJECTID,FACILITYID,MATERIAL,DIAMETER,LENGTH,Major_Road,Major_Intersection,Minor_Intersection,Minor_Road,Buildings,Railroad,ROW,WaterAreas,WaterLines,zone,affected_lats,SchoolChildcare,Healthcare,CriticalCustomers,DIAMETER_score,Railroad_score,Buildings_score,WaterBodies_score,affected_lats_score,school_childcare_score,medical_score,critical_cust_score,Roadway_score,COF
1,wM-1,DIP,6,788.0,0.0,0.0,305.11503056053186,0.0,38.20564354167725,2898.1357950499646,,1844.7278054377527,,Zone-1,10.0,,,,4,0,0,0,1,0,0,0,10,3
2,wM-2,CAS,6,554.0,0.0,0.0,389.9248456812932,0.0,100.5282451521398,2337.302739721519,,2271.427517349752,,Zone-2,2.0,Connected,,,4,0,0,0,1,10,0,0,10,3
3,wM-3,PVC,12,7.0,0.0,166.12378483364645,783.6179804714308,183.61514311972772,100.51936174407146,2333.6835454415823,,2547.0303214526148,,Zone-3,,,,,7,0,0,0,0,0,0,0,9,3
4,wM-4,CAS,6,4.0,0.0,166.12378483364645,790.5477375899886,183.6569114145977,100.51936174407146,2333.6835454415823,,2547.0303214526148,,Zone-3,,,,,4,0,0,0,0,0,0,0,9,2
5,wM-5,DIP,6,4.0,0.0,162.00229554955632,789.3148126811376,179.5162837076927,100.51936174407146,2329.5474288596924,,2543.738287175656,,Zone-3,,,,,4,0,0,0,0,0,0,0,9,2
6,wM-6,DIP,6,367.0,0.0,0.0,450.9158293466848,0.0,39.04422388372196,1773.2757300654891,,2105.449155863136,,Zone-4,10.0,,,,4,0,0,0,1,0,0,0,10,3
7,wM-7,DIP,6,5.0,0.0,0.0,712.3331744266699,0.0,79.41425062561835,2140.034985139792,,2388.9079642597885,,Zone-4,10.0,,,,4,0,0,0,1,0,0,0,10,3
8,wM-8,DIP,6,190.0,0.0,0.0,712.3331744266699,0.0,77.05029254042371,2140.034985139792,,2388.9079642597885,,Zone-4,10.0,,,,4,0,0,0,1,0,0,0,10,3
9,wM-9,DIP,4,775.0,35.11146756333617,17.80508729474525,0.0,0.0,75.63923556686515,2131.119918472068,,1918.060524770243,,Zone-5,5.0,,,,4,0,0,0,1,0,0,0,7,2
10,wM-10,DIP,4,7.0,809.778502547517,791.95205015168,0.0,0.0,81.67907248519754,2131.119918472068,,1916.1818131850584,,Zone-5,5.0,,,,4,0,0,0,1,0,0,0,7,2
11,wM-11,DIP,12,4.0,809.778502547517,791.95205015168,0.0,0.0,84.13114802849134,2131.014590244225,,1914.527214034704,,Zone-5,5.0,,,,7,0,0,0,1,0,0,0,7,2
12,wM-12,DIP,4,431.0,817.2295966709395,799.4032574903555,0.0,0.0,33.362290524682315,2123.4855951553586,,1501.8510030689283,,Zone-6,3.0,,,,4,0,0,0,1,0,0,0,7,2
13,wM-13,DIP,4,94.0,1248.7130143372513,1230.8885171906973,0.0,0.0,70.91449272777763,2118.449247803197,,1416.4295627347187,,Zone-7,,,,,4,0,0,0,0,0,0,0,7,2
14,wM-544,CAS,12,663.0,1386.4141520273888,1368.6032569893555,0.0,0.0,18.5545780750011,2118.557785855011,,803.6874189738372,,Zone-8,11.0,,,,7,0,5,0,5,0,0,0,7,4
15,wM-16,DIP,4,329.0,942.2660231788844,938.1932960589024,0.0,0.0,61.09105313814281,2701.2185676931585,,1309.2868499141184,,Zone-9,13.0,,,,4,0,0,0,5,0,0,0,7,3
16,wM-17,DIP,6,620.0,0.0,0.0,275.0441744956429,0.0,28.566531742634105,1114.602430426928,,1681.9192092350777,,Zone-10,14.0,,,,4,0,0,0,5,0,0,0,10,3
17,wM-18,,4,4.0,0.0,0.0,431.00512969585526,0.0,58.67776404181388,1732.8007847541867,,2075.889863509932,,Zone-10,14.0,,,,4,0,0,0,5,0,0,0,10,3
18,wM-19,DIP,6,40.0,0.0,0.0,431.00512969585526,0.0,50.29918709598925,1732.8007847541867,,2075.889863509932,,Zone-10,14.0,,,,4,0,0,0,5,0,0,0,10,3
19,wM-20,CAS,6,7.0,0.0,0.0,382.8391925349309,0.0,100.5282451521398,2891.6463797757115,,2264.419594114721,,Zone-2,2.0,zone,,,4,0,0,0,1,0,0,0,10,3
20,wM-21,DIP,6,6.0,0.0,0.0,386.1031386098369,0.0,96.1843857908444,2891.6463797757115,,2268.353106016923,,Zone-2,2.0,zone,,,4,0,0,0,1,0,0,0,10,3
21,wM-22,DIP,6,928.0,361.46080662156913,484.23299343529504,96.74375608846675,0.0,15.01908428666942,3918.129466655741,,647.8319374161886,,Zone-11,5.0,,,,4,0,5,0,1,0,0,0,6,2
22,wM-25,DIP,6,171.0,354.9383785387607,385.0959459559353,0.0,0.0,42.5792186000406,3889.7005190744544,,1385.2203836821843,,Zone-12,5.0,,,,4,0,0,0,1,0,0,0,7,2
23,wM-26,DIP,6,7.0,354.9386501776001,479.8768047336428,96.05918468858566,0.0,66.36185474867195,4060.2072598299646,,1379.070191335754,,Zone-12,5.0,,,,4,0,0,0,1,0,0,0,6,2
24,wM-27,DIP,6,180.0,350.59665962116213,479.8764809193327,0.0,0.0,69.93145885367038,4060.859571121844,,1350.1717364466615,,Zone-12,5.0,,,,4,0,0,0,1,0,0,0,7,2
25,wM-28,DIP,4,366.0,1240.1165039614195,1223.1460131450997,0.0,0.0,54.29373397437418,2906.5576774178135,,917.6966664277264,,Zone-13,16.0,,,,4,0,0,0,5,0,0,0,7,3
26,wM-548,DIP,8,695.0,1957.4433267866077,1957.4210561445495,0.0,0.0,38.276749156701946,2780.623572182144,,417.1303982564357,,Zone-14,6.0,,,,4,0,0,0,1,0,0,0,7,2
27,wM-32,PVC,6,512.0,1540.2647102133033,1522.4796570436135,0.0,0.0,57.662035925958506,3115.779470115801,,415.2539560920163,,Zone-15,3.0,,,,4,0,0,0,1,0,0,0,7,2
28,wM-33,DIP,8,8.0,1952.8536545279512,1953.7381303578952,0.0,0.0,99.66435427062876,3407.2573808499715,,415.2539560920163,,Zone-15,3.0,,,,4,0,0,0,1,0,0,0,7,2
29,wM-34,PVC,6,139.0,1952.8536545279512,1953.7381303578952,0.0,0.0,64.28974348272583,3413.7191182156266,,282.1218557060169,,Zone-15,3.0,,,,4,0,0,0,1,0,0,0,7,2
30,wM-35,PVC,6,418.0,1806.104776907388,1796.1075234299028,0.0,0.0,57.006988159390005,3493.428060433551,,217.092939143802,,Zone-16,7.0,,,,4,0,0,0,1,0,0,0,7,2
31,wM-36,DIP,4,648.0,1539.1244945921012,1521.3896131881584,0.0,0.0,43.221952726426494,2572.8648668597766,,747.4515274034246,,Zone-17,10.0,,,,4,0,0,0,1,0,0,0,7,2
32,wM-37,DIP,4,4.0,1536.9441244359427,1519.178690272957,0.0,0.0,78.28753865270883,3110.333308885444,,917.6966664277264,,Zone-13,16.0,,,,4,0,0,0,5,0,0,0,7,3
33,wM-38,DIP,6,4.0,1536.9441244359427,1519.178690272957,0.0,0.0,78.04377245330393,3113.46491925188,,913.7308289323624,,Zone-13,16.0,,,,4,0,0,0,5,0,0,0,7,3
34,wM-39,CAS,6,222.0,1149.6431006317612,1132.3948499571632,0.0,0.0,61.98885975276691,3662.228707350725,,694.9583912646996,,Zone-18,1.0,,,,4,0,0,0,1,0,0,0,7,2
35,wM-40,CAS,6,336.0,766.1599865660556,783.7702162003404,0.0,0.0,39.97336210474895,3394.202612866872,,1035.26034263921,,Zone-19,12.0,,,,4,0,0,0,5,0,0,0,7,3
36,wM-41,CAS,4,447.0,363.6567436142162,374.52777992414417,0.0,0.0,39.73535822111809,3392.3092933013195,,1359.8984381928788,,Zone-20,16.0,,,,4,0,0,0,5,0,0,0,7,3
37,wM-43,DIP,8,499.0,0.0,0.0,534.4775106901761,6.127212276294387,48.74984589277607,312.75374817147434,,1594.2779301093315,,Zone-21,8.0,,,,4,0,0,0,1,0,0,0,10,3
