OBJECTID,FACILITYID,MATERIAL_cof,DIAMETER,LENGTH,Major_Road,Major_Intersection,Minor_Intersection,Minor_Road,Buildings,Railroad,ROW,WaterAreas,WaterLines,zone,affected_lats,SchoolChildcare,Healthcare,CriticalCustomers,DIAMETER_score,Railroad_score,Buildings_score,WaterBodies_score,affected_lats_score,school_childcare_score,medical_score,critical_cust_score,Roadway_score,COF,INSTALLDATE,MATERIAL_lof,Age,Material,Service Life,Service Life Score,Breaks,Breaks_score,Z_MAX,Break Density Score,LOF,COF_normalized,LOF_normalized,RISK
1,wM-1,DIP,6,788.0,0.0,0.0,305.11503056053186,0.0,38.20564354167725,2898.1357950499646,,1844.7278054377527,,Zone-1,10.0,,,,4,0,0,0,1,0,0,0,10,3,2009-06-01 00:00:00.000000,DIP,15,DIP,90,2.0,1.0,8.0,65.98710811733345,5.0,5.0,6,5,30
2,wM-2,CAS,6,554.0,0.0,0.0,389.9248456812932,0.0,100.5282451521398,2337.302739721519,,2271.427517349752,,Zone-2,2.0,Connected,,,4,0,0,0,1,10,0,0,10,3,1968-01-01 17:28:00.000000,CAS,56,CAS,75,8.0,,0.0,37.57719071447985,4.0,5.0,6,5,30
3,wM-3,PVC,12,7.0,0.0,166.12378483364645,783.6179804714308,183.6151431197277,100.51936174407146,2333.6835454415823,,2547.0303214526148,,Zone-3,,,,,7,0,0,0,0,0,0,0,9,3,2000-01-01 17:13:00.000000,PVC,24,PVC,100,3.0,,0.0,,0.0,2.0,6,2,12
4,wM-4,CAS,6,4.0,0.0,166.12378483364645,790.5477375899886,183.6569114145977,100.51936174407146,2333.6835454415823,,2547.0303214526148,,Zone-3,,,,,4,0,0,0,0,0,0,0,9,2,1968-01-01 00:00:00.000000,CAS,56,CAS,75,8.0,,0.0,6.041889085521232,1.0,5.0,4,5,20
5,wM-5,DIP,6,4.0,0.0,162.00229554955632,789.3148126811376,179.5162837076927,100.51936174407146,2329.5474288596924,,2543.738287175656,,Zone-3,,,,,4,0,0,0,0,0,0,0,9,2,2009-06-01 00:00:00.000000,DIP,15,DIP,90,2.0,,0.0,5.930214767452304,1.0,2.0,4,2,8
6,wM-6,DIP,6,367.0,0.0,0.0,450.9158293466848,0.0,39.04422388372196,1773.2757300654891,,2105.449155863136,,Zone-4,10.0,,,,4,0,0,0,1,0,0,0,10,3,2009-06-01 00:00:00.000000,DIP,15,DIP,90,2.0,,0.0,9.955816802967648,1.0,2.0,6,2,12
7,wM-7,DIP,6,5.0,0.0,0.0,712.3331744266699,0.0,79.41425062561835,2140.034985139792,,2388.9079642597885,,Zone-4,10.0,,,,4,0,0,0,1,0,0,0,10,3,2009-06-01 00:00:00.000000,DIP,15,DIP,90,2.0,,0.0,2.9178094112381894,0.0,1.0,6,1,6
8,wM-8,DIP,6,190.0,0.0,0.0,712.3331744266699,0.0,77.05029254042371,2140.034985139792,,2388.9079642597885,,Zone-4,10.0,,,,4,0,0,0,1,0,0,0,10,3,2009-06-01 00:00:00.000000,DIP,15,DIP,90,2.0,,0.0,5.808848484912581,1.0,2.0,6,2,12
9,wM-9,DIP,4,775.0,35.11146756333617,17.80508729474525,0.0,0.0,75.63923556686515,2131.119918472068,,1918.060524770243,,Zone-5,5.0,,,,4,0,0,0,1,0,0,0,7,2,2024-08-01 00:00:00.000000,DIP,0,DIP,90,1.0,1.0,8.0,114.27004061258545,6.0,4.0,4,4,16
10,wM-10,DIP,4,7.0,809.778502547517,791.95205015168,0.0,0.0,81.67907248519754,2131.119918472068,,1916.1818131850584,,Zone-5,5.0,,,,4,0,0,0,1,0,0,0,7,2,2024-08-01 00:00:00.000000,DIP,0,DIP,90,1.0,,0.0,114.27004061258545,6.0,2.0,4,2,8
11,wM-11,DIP,12,4.0,809.778502547517,791.95205015168,0.0,0.0,84.13114802849134,2131.014590244225,,1914.527214034704,,Zone-5,5.0,,,,7,0,0,0,1,0,0,0,7,2,2024-08-01 00:00:00.000000,DIP,0,DIP,90,1.0,,0.0,114.71256509567807,6.0,2.0,4,2,8
12,wM-12,DIP,4,431.0,817.2295966709395,799.4032574903555,0.0,0.0,33.362290524682315,2123.4855951553586,,1501.8510030689283,,Zone-6,3.0,,,,4,0,0,0,1,0,0,0,7,2,2024-08-01 00:00:00.000000,DIP,0,DIP,90,1.0,1.0,8.0,141.74603804835348,7.0,5.0,4,5,20
13,wM-13,DIP,4,94.0,1248.7130143372513,1230.8885171906973,0.0,0.0,70.91449272777763,2118.449247803197,,1416.4295627347187,,Zone-7,,,,,4,0,0,0,0,0,0,0,7,2,2024-08-01 00:00:00.000000,DIP,0,DIP,90,1.0,,0.0,141.74603804835348,7.0,3.0,4,3,12
14,wM-544,CAS,12,663.0,1386.4141520273888,1368.6032569893555,0.0,0.0,18.5545780750011,2118.557785855011,,803.6874189738372,,Zone-8,11.0,,,,7,0,5,0,5,0,0,0,7,4,1969-01-01 18:09:00.000000,CAS,55,CAS,75,8.0,,0.0,139.89734059627696,10.0,7.0,8,7,56
15,wM-16,DIP,4,329.0,942.2660231788844,938.1932960589024,0.0,0.0,61.09105313814281,2701.2185676931585,,1309.2868499141184,,Zone-9,13.0,,,,4,0,0,0,5,0,0,0,7,3,2024-08-01 00:00:00.000000,DIP,0,DIP,90,1.0,,0.0,166.50487199429892,9.0,3.0,6,3,18
16,wM-17,DIP,6,620.0,0.0,0.0,275.0441744956429,0.0,28.566531742634105,1114.602430426928,,1681.9192092350777,,Zone-10,14.0,,,,4,0,0,0,5,0,0,0,10,3,2014-01-01 18:46:00.000000,DIP,10,DIP,90,2.0,,0.0,14.042522133114606,1.0,2.0,6,2,12
18,wM-19,DIP,6,40.0,0.0,0.0,431.00512969585526,0.0,50.29918709598925,1732.800784754187,,2075.889863509932,,Zone-10,14.0,,,,4,0,0,0,5,0,0,0,10,3,2009-01-01 00:00:00.000000,DIP,15,DIP,90,2.0,,0.0,10.915636613637863,1.0,2.0,6,2,12
19,wM-20,CAS,6,7.0,0.0,0.0,382.8391925349309,0.0,100.5282451521398,2891.6463797757115,,2264.419594114721,,Zone-2,2.0,zone,,,4,0,0,0,1,0,0,0,10,3,1955-01-01 00:00:00.000000,CAS,69,CAS,75,10.0,,0.0,38.21038847203333,4.0,6.0,6,6,36
20,wM-21,DIP,6,6.0,0.0,0.0,386.1031386098369,0.0,96.1843857908444,2891.6463797757115,,2268.353106016923,,Zone-2,2.0,zone,,,4,0,0,0,1,0,0,0,10,3,2009-06-01 00:00:00.000000,DIP,15,DIP,90,2.0,,0.0,38.194241956097216,3.0,2.0,6,2,12
21,wM-22,DIP,6,928.0,361.46080662156913,484.23299343529504,96.74375608846675,0.0,15.01908428666942,3918.129466655741,,647.8319374161886,,Zone-11,5.0,,,,4,0,5,0,1,0,0,0,6,2,1979-12-01 00:00:00.000000,DIP,45,DIP,90,5.0,,0.0,14.37001335442338,1.0,3.0,4,3,12
