FACILITYID,INSTALLDATE,MATERIAL,Age,Material,Service Life,Service Life Score,Breaks,Breaks_score,Z_MAX,Break Density Score,LOF
wM-1,2009-06-01 00:00:00.000000,DIP,16,DIP,90,2.0,1.0,8.0,65.98710811733345,5.0,5.0
wM-2,1968-01-01 17:28:00.000000,CAS,57,CAS,75,8.0,,0.0,37.57719071447985,3.0,5.0
wM-3,2000-01-01 17:13:00.000000,PVC,25,PVC,100,3.0,,0.0,,0.0,2.0
wM-4,1968-01-01 00:00:00.000000,CAS,57,CAS,75,8.0,,0.0,6.041889085521232,1.0,5.0
wM-5,2009-06-01 00:00:00.000000,DIP,16,DIP,90,2.0,,0.0,5.930214767452304,1.0,2.0
wM-6,2009-06-01 00:00:00.000000,DIP,16,DIP,90,2.0,,0.0,9.955816802967648,1.0,2.0
wM-7,2009-06-01 00:00:00.000000,DIP,16,DIP,90,2.0,,0.0,2.9178094112381894,0.0,1.0
wM-8,2009-06-01 00:00:00.000000,DIP,16,DIP,90,2.0,,0.0,5.808848484912581,1.0,2.0
wM-9,2024-08-01 00:00:00.000000,DIP,1,DIP,90,1.0,1.0,8.0,114.27004061258545,6.0,4.0
wM-10,2024-08-01 00:00:00.000000,DIP,1,DIP,90,1.0,,0.0,114.27004061258545,6.0,2.0
wM-11,2024-08-01 00:00:00.000000,DIP,1,DIP,90,1.0,,0.0,114.71256509567809,6.0,2.0
wM-12,2024-08-01 00:00:00.000000,DIP,1,DIP,90,1.0,1.0,8.0,141.74603804835348,7.0,5.0
wM-13,2024-08-01 00:00:00.000000,DIP,1,DIP,90,1.0,,0.0,141.74603804835348,7.0,3.0
wM-544,1969-01-01 18:09:00.000000,CAS,56,CAS,75,8.0,,0.0,139.89734059627696,10.0,7.0
wM-16,2024-08-01 00:00:00.000000,DIP,1,DIP,90,1.0,,0.0,166.50487199429892,9.0,3.0
wM-17,2014-01-01 18:46:00.000000,DIP,11,DIP,90,2.0,,0.0,14.042522133114606,1.0,2.0
wM-19,2009-01-01 00:00:00.000000,DIP,16,DIP,90,2.0,,0.0,10.915636613637865,1.0,2.0
wM-20,1955-01-01 00:00:00.000000,CAS,70,CAS,75,10.0,,0.0,38.21038847203333,3.0,6.0
wM-21,2009-06-01 00:00:00.000000,DIP,16,DIP,90,2.0,,0.0,38.194241956097216,3.0,2.0
wM-22,1979-12-01 00:00:00.000000,DIP,46,DIP,90,6.0,,0.0,14.370013354423381,1.0,4.0
wM-25,1979-12-01 00:00:00.000000,DIP,46,DIP,90,6.0,,0.0,0.0,0.0,3.0
wM-26,1979-12-01 00:00:00.000000,DIP,46,DIP,90,6.0,,0.0,0.0,0.0,3.0
wM-27,1979-12-01 00:00:00.000000,DIP,46,DIP,90,6.0,,0.0,0.0,0.0,3.0
wM-28,2024-08-01 00:00:00.000000,DIP,1,DIP,90,1.0,1.0,8.0,177.2103279948336,9.0,5.0
wM-548,1985-01-01 18:23:00.000000,DIP,40,DIP,90,5.0,,0.0,0.0,0.0,3.0
wM-32,1984-11-01 00:00:00.000000,PVC,41,PVC,100,5.0,,0.0,,0.0,3.0
wM-33,1985-01-29 18:24:00.000000,DIP,40,DIP,90,5.0,,0.0,0.0,0.0,3.0
wM-34,1984-12-01 00:00:00.000000,PVC,41,PVC,100,5.0,,0.0,,0.0,3.0
wM-35,1984-12-01 00:00:00.000000,PVC,41,PVC,100,5.0,,0.0,,0.0,3.0
wM-36,2024-08-01 00:00:00.000000,DIP,1,DIP,90,1.0,2.0,10.0,197.75145430460105,10.0,6.0
wM-37,2024-08-01 00:00:00.000000,DIP,1,DIP,90,1.0,,0.0,160.88075059599117,8.0,3.0
wM-38,2024-08-01 00:00:00.000000,DIP,1,DIP,90,1.0,,0.0,160.07572686602666,8.0,3.0
wM-39,1956-01-01 00:00:00.000000,CAS,69,CAS,75,10.0,,0.0,25.03553492041153,2.0,6.0
wM-40,1956-01-01 00:00:00.000000,CAS,69,CAS,75,10.0,,0.0,56.520850033155654,4.0,6.0
wM-41,1955-01-01 18:16:00.000000,CAS,70,CAS,75,10.0,,0.0,69.99362096938809,5.0,7.0
wM-43,2002-12-01 00:00:00.000000,DIP,23,DIP,90,3.0,,0.0,0.0,0.0,2.0
wM-44,1995-01-01 18:42:00.000000,DIP,30,DIP,90,4.0,,0.0,0.0,0.0,2.0
wM-45,1958-01-01 16:22:00.000000,CAS,67,CAS,75,9.0,3.0,10.0,93.60767745710069,7.0,9.0
wM-46,1958-01-01 00:00:00.000000,CAS,67,CAS,75,9.0,,0.0,93.92964400973219,7.0,7.0
wM-47,1958-01-01 00:00:00.000000,CAS,67,CAS,75,9.0,,0.0,75.31847762321364,6.0,6.0
wM-48,1958-01-01 00:00:00.000000,CAS,67,CAS,75,9.0,,0.0,75.27752784474171,6.0,6.0
wM-49,1980-06-01 00:00:00.000000,DIP,45,DIP,90,5.0,,0.0,33.24859437935348,3.0,4.0
wM-53,1980-06-01 00:00:00.000000,DIP,45,DIP,90,5.0,,0.0,25.044704854678855,2.0,3.0
wM-54,1980-06-01 00:00:00.000000,DIP,45,DIP,90,5.0,,0.0,24.237991609479767,2.0,3.0
wM-55,1980-06-01 00:00:00.000000,DIP,45,DIP,90,5.0,,0.0,24.173201418201035,2.0,3.0
wM-57,1980-06-01 00:00:00.000000,DIP,45,DIP,90,5.0,,0.0,24.308562736341525,2.0,3.0
wM-59,2002-12-01 00:00:00.000000,DIP,23,DIP,90,3.0,,0.0,20.425263083061363,2.0,2.0
wM-61,2002-12-01 00:00:00.000000,DIP,23,DIP,90,3.0,,0.0,9.010819055620113,1.0,2.0
wM-62,1998-01-29 18:41:00.000000,DIP,27,DIP,90,3.0,,0.0,8.665020012830425,1.0,2.0
wM-63,2005-05-01 00:00:00.000000,DIP,20,DIP,90,3.0,,0.0,0.0,0.0,2.0
wM-64,2005-05-01 00:00:00.000000,DIP,20,DIP,90,3.0,,0.0,0.0,0.0,2.0
wM-65,2002-12-01 00:00:00.000000,DIP,23,DIP,90,3.0,,0.0,8.989140202892713,1.0,2.0
wM-67,2002-12-01 00:00:00.000000,DIP,23,DIP,90,3.0,,0.0,8.93792848873207,1.0,2.0
wM-68,2002-12-01 00:00:00.000000,DIP,23,DIP,90,3.0,,0.0,0.0,0.0,2.0
wM-70,2001-12-01 00:00:00.000000,PVC,24,PVC,100,3.0,,0.0,,0.0,2.0
wM-72,2002-12-01 00:00:00.000000,DIP,23,DIP,90,3.0,,0.0,0.0,0.0,2.0
wM-73,2002-12-01 00:00:00.000000,DIP,23,DIP,90,3.0,,0.0,0.0,0.0,2.0
wM-74,2002-12-01 00:00:00.000000,DIP,23,DIP,90,3.0,,0.0,7.238826151381805,1.0,2.0
wM-75,2002-12-01 00:00:00.000000,DIP,23,DIP,90,3.0,,0.0,20.185683033062396,2.0,2.0
wM-76,2002-12-01 00:00:00.000000,DIP,23,DIP,90,3.0,,0.0,19.88796390885403,2.0,2.0
wM-77,1988-01-01 00:00:00.000000,DIP,37,DIP,90,5.0,,0.0,35.26151724963093,3.0,4.0
wM-78,1956-01-01 18:19:00.000000,CAS,69,CAS,75,10.0,,0.0,35.26151724963093,3.0,6.0
