OBJECTID,facilityid,installdate,material,diameter,LENGTH,Major_Intersection,Major_Road,Minor_Intersection,Minor_Road,Buildings,Railroad,ROW,WaterAreas
387,wM-521,,,4,,,,,,,,,
1,wM-1,2009-06-01 00:00:00.000000,DIP,6,788.0,0.0,0.0,305.62600977892515,0.0,38.69206430353049,2901.335543167569,0.0,1843.927533306204
2,wM-2,1968-01-01 17:28:00.000000,CAS,6,554.0,0.0,0.0,388.49580657392886,0.0,97.94045998034188,2340.502489703857,0.0,2270.412650127271
3,wM-3,2000-01-01 17:13:00.000000,PVC,12,7.0,169.43347340536235,0.0,784.9951627424625,186.82328801306403,100.166290512613,2336.8832954353534,0.0,2549.4195068018544
4,wM-4,1968-01-01 00:00:00.000000,CAS,6,4.0,169.43347340536235,0.0,791.9131704847154,186.86505630697667,100.166290512613,2336.8832954353534,0.0,2549.4195068018544
5,wM-5,2009-06-01 00:00:00.000000,DIP,6,4.0,165.31750948097607,0.0,790.654080910475,182.72442860110172,100.166290512613,2332.747178956364,0.0,2546.1252998619248
6,wM-6,2009-06-01 00:00:00.000000,DIP,6,367.0,0.0,0.0,452.24335982419046,0.0,39.5324814143935,1776.4754824420932,0.0,2107.486274445004
7,wM-7,2009-06-01 00:00:00.000000,DIP,6,5.0,0.0,0.0,714.7511764401262,0.0,79.30112560043963,2143.234736011381,0.0,2391.195413302669
8,wM-8,2009-06-01 00:00:00.000000,DIP,6,190.0,0.0,0.0,714.7511764401262,0.0,76.56219302268715,2143.234736011381,0.0,2391.195413302669
9,wM-9,2024-08-01 00:00:00.000000,DIP,4,775.0,17.970903893156528,34.708896214206035,0.0,0.0,78.83976341271963,2134.3346252549563,0.0,1917.6332198154696
10,wM-10,2024-08-01 00:00:00.000000,DIP,4,7.0,791.4927055072352,809.2985994699081,0.0,0.0,79.77385179037418,2134.3346252549563,0.0,1915.7649977799624
11,wM-11,2024-08-01 00:00:00.000000,DIP,12,4.0,791.4927055072352,809.2985994699081,0.0,0.0,82.00500093246364,2134.229300610478,0.0,1914.098119732471
12,wM-12,2024-08-01 00:00:00.000000,DIP,4,431.0,798.943758923029,816.7496056888467,0.0,0.0,30.15621857541645,2126.697011631093,0.0,1501.1619605732735
